,id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
13,WO2012116145A1,Novel cyclic azabenzimidazole derivatives useful as anti-diabetic agents ,Merck Sharp & Dohme Corp.,"Rajan Anand, James M. Apgar, Tesfaye Biftu, Ping Chen, Lin Chu, Vincent J. Colandrea, Guizhen Dong, James F. Dropinski, Danqing Feng, Jacqueline D. Hicks, Jinlong Jiang, Alexander J. Kim, Kenneth J. Leavitt, Bing Li, Xiaoxia Qian, Iyassu Sebhat, Lan Wei, Robert R. Wilkening, Zhicai Wu",2011-02-25,2012-02-23,2012-08-30,,https://patents.google.com/patent/WO2012116145A1/en
14,US20120092157A1,Personal emergency response (per) system ,Bao Tran,Bao Tran,2005-10-16,2011-12-28,2012-04-19,,https://patents.google.com/patent/US20120092157A1/en
15,US20130013331A1,"Systems, Computer Medium and Computer-Implemented Methods for Monitoring Health of Employees Using Mobile Devices ",Saudi Arabian Oil Company,Samantha J. Horseman,2011-07-05,2012-07-02,2013-01-10,,https://patents.google.com/patent/US20130013331A1/en
16,WO2011106273A1,Novel cyclic benzimidazole derivatives useful anti-diabetic agents ,Merck Sharp & Dohme Corp.,"Jinlong Jiang, Andrew J. Kassick, Ahmet Kekec, Iyassu K. Sebhat",2010-02-25,2011-02-21,2011-09-01,,https://patents.google.com/patent/WO2011106273A1/en
17,US20140019468A1,System and method of applying state of being to health care delivery ,Georgetown University,"Howard Federoff, Ophir Frieder, Eric Burger",2012-07-16,2012-07-16,2014-01-16,,https://patents.google.com/patent/US20140019468A1/en
18,US20120004495A1,Implantable heart assist system and method of applying same ,Thoratec Corporation,"Steven F. Bolling, Morteza Gharib, Gabriel Aldea, Mary Lynn Gaddis, Anthony J. Viole",1997-10-09,2011-07-01,2012-01-05,,https://patents.google.com/patent/US20120004495A1/en
19,WO2013103842A1,Methods of reducing risk of cardiovascular disease ,"Michigan Life Therapeutics, Llc",Charles L. Bisgaier,2012-01-06,2013-01-04,2013-07-11,,https://patents.google.com/patent/WO2013103842A1/en
20,US20130009761A1,"Systems, Computer Medium and Computer-Implemented Methods for Monitoring Health and Ergonomic Status of Drivers of Vehicles ",Saudi Arabian Oil Company,Samantha J. Horseman,2011-07-05,2012-07-02,2013-01-10,,https://patents.google.com/patent/US20130009761A1/en
21,US8916153B2,Purified antibody composition ,Abbvie Biotechnology Ltd.,"Min M. Wan, George Avgerinos, Gregory Zarbis-Papastoitsis",2006-04-05,2013-06-26,2014-12-23,2014-12-23,https://patents.google.com/patent/US8916153B2/en
22,US20130325041A1,Steerable lesion excluding heart implants for congestive heart failure ,"Bioventrix, Inc.","Lon S. Annest, Arthur A. Bertolero, Sing-Fatt Chin, David K. Swanson",2005-08-19,2013-03-11,2013-12-05,,https://patents.google.com/patent/US20130325041A1/en
23,US8157742B2,Method and system for patient-specific modeling of blood flow ,"Heartflow, Inc.",Charles A. Taylor,2010-08-12,2011-11-07,2012-04-17,2012-04-17,https://patents.google.com/patent/US8157742B2/en
24,US8315812B2,Method and system for patient-specific modeling of blood flow ,"Heartflow, Inc.",Charles A. Taylor,2010-08-12,2011-01-25,2012-11-20,2012-11-20,https://patents.google.com/patent/US8315812B2/en
25,US20130023865A1,Imaging and Eccentric Atherosclerotic Material Laser Remodeling and/or Ablation Catheter ,"Vessix Vascular, Inc.","Tom A. Steinke, Corbett W. Stone, Raphael M. Michel",2004-05-05,2012-09-20,2013-01-24,,https://patents.google.com/patent/US20130023865A1/en
26,US20130245502A1,Methods and system for monitoring patients for clinical episodes ,Earlysense Ltd.,"Daniel H. Lange, Arkadi AVERBOUKH, Avner Halperin",2005-11-01,2013-04-15,2013-09-19,,https://patents.google.com/patent/US20130245502A1/en
27,US8328718B2,Health monitoring appliance ,Bao Tran,Bao Tran,2006-05-12,2011-12-26,2012-12-11,2012-12-11,https://patents.google.com/patent/US8328718B2/en
28,US20120276551A1,Methods predicting risk of an adverse clinical outcome ,"Critical Care Diagnostics, Inc.",James V. Snider,2011-03-17,2012-03-16,2012-11-01,,https://patents.google.com/patent/US20120276551A1/en
29,US20140308930A1,"Timely, glanceable information on a wearable device ",Bao Tran,Bao Tran,2013-04-12,2013-04-12,2014-10-16,,https://patents.google.com/patent/US20140308930A1/en
30,US20120172655A1,Impeller housing for percutaneous heart pump ,"Campbell Robert L, Keif Fitzgerald, William James Harrison, Boris Leschinsky, Mallison Thomas M, Mcbride Mark W, Adam Roslund, Walters Daniel A, Phyllis Yuen","Robert L. Campbell, Keif Fitzgerald, William James Harrison, Boris Leschinsky, Thomas M. Mallison, Mark W. McBride, Adam Roslund, Daniel A. Walters, Phyllis Yuen",2011-01-05,2012-01-04,2012-07-05,,https://patents.google.com/patent/US20120172655A1/en
31,US20120022350A1,Sensor fusion and probabilistic parameter estimation method and apparatus ,"Streamline Automation, Llc",Rodrigo Teixeira,2010-07-21,2011-07-12,2012-01-26,,https://patents.google.com/patent/US20120022350A1/en
32,US20120178985A1,Percutaneous heart pump ,"Walters Daniel A, William James Repka, Prais Brian A, Williams Jonathan R","Daniel A. Walters, William James Repka, Brian A. Prais, Jonathan R. Williams",2011-01-06,2012-01-05,2012-07-12,,https://patents.google.com/patent/US20120178985A1/en
33,WO2014118267A1,Lna oligonucleotide carbohydrate conjugates ,Santaris Pharma A/S,"Nanna ALBÆK, Henrik Hansen, Susanne KAMMLER, Jacob Ravn, Henrik ØRUM, Mark Turner, Monika KRAMPERT, Philpp HADWIGER, Søren OTTOSEN, Morten Lindow",2013-01-30,2014-01-30,2014-08-07,,https://patents.google.com/patent/WO2014118267A1/en
34,US20120257164A1,Method and device for retinal image analysis ,The Chinese University Of Hong Kong,"Benny Chung-Ying ZEE, Jack Jock-Wai LEE, Esther Qing LI",2011-04-07,2012-04-06,2012-10-11,,https://patents.google.com/patent/US20120257164A1/en
35,US20110245699A1,Systems and methods related to st segment monitoring by an implantable medical device ,"Pacesetter, Inc.","Jay Snell, Bing Zhu, Katie Hoberman, Harish Krishnaswamy",2010-03-30,2011-03-16,2011-10-06,,https://patents.google.com/patent/US20110245699A1/en
36,US20120178986A1,Percutaneous heart pump ,"Campbell Robert L, Koncoski Jeremy J, Mallison Thomas M, Mcbride Mark W, Daniel Metrey, Myer Eric C, Powell Kevin J, Adam Roslund, Walters Daniel A, William James Repka, Phyllis Yuen","Robert L. Campbell, Jeremy J. Koncoski, Thomas M. Mallison, Mark W. McBride, Daniel Metrey, Eric C. Myer, Kevin J. Powell, Adam Roslund, Daniel A. Walters, William James Repka, Phyllis Yuen",2011-01-06,2012-01-06,2012-07-12,,https://patents.google.com/patent/US20120178986A1/en
37,US20130344096A1,Histidyl-trna synthetases for treating autoimmune and inflammatory diseases ,"Pangu Biopharma Limited, Atyr Pharma, Inc.","Kyle P. Chiang, Elisabeth Gardiner, Ching-Fun Lau, Wing-Sze Lo, Jeffrey Greve, Melissa Ashlock, John D. Mendlein",2012-02-16,2013-02-15,2013-12-26,,https://patents.google.com/patent/US20130344096A1/en
38,US20110245206A1,Antioxidant inflammation modulators: c-17 homologated oleanolic acid derivatives ,"Xin Jiang, Xiaofeng Liu, Jack Greiner, Szucs Stephen S, Melean Visnick","Xin Jiang, Xiaofeng Liu, Jack Greiner, Stephen S. Szucs, Melean Visnick",2008-04-18,2011-02-23,2011-10-06,,https://patents.google.com/patent/US20110245206A1/en
39,WO2012003405A1,Sgc stimulators ,"Ironwood Pharmaceuticals, Inc.","Rajesh R. Iyengar, Charles Kim, Ara Mermerian, Joel Moore, Takashi Nakai, Nicholas Robert Perl, Jason Rohde, Lee Thomas Wai-Ho",2010-06-30,2011-06-30,2012-01-05,,https://patents.google.com/patent/WO2012003405A1/en
40,US8741336B2,"Biosynchronous transdermal drug delivery for longevity, anti-aging, fatigue management, obesity, weight loss, weight management, delivery of nutraceuticals, and the treatment of hyperglycemia, Alzheimer'S disease, sleep disorders, Parkinson'S disease, AIDS, epilepsy, attention deficit disorder, nicotine addiction, cancer, headache and pain control, asthma, angina, hypertension, depression, cold, flu and the like ","Chrono Therapeutics, Inc.","Guy DiPierro, Steven A. Giannos",2004-09-13,2012-06-04,2014-06-03,2014-06-03,https://patents.google.com/patent/US8741336B2/en
41,US20130012802A1,"Systems, Computer Medium and Computer-Implemented Methods For Monitoring and Improving Cognitive and Emotive Health of Employees ",Saudi Arabian Oil Company,Samantha J. Horseman,2011-07-05,2012-07-02,2013-01-10,,https://patents.google.com/patent/US20130012802A1/en
42,US20110125213A1,Non-invasive treatment of bronchial constriction ,Electrocore Llc,"Bruce J. Simon, Joseph P. Errico, John T. Raffle, Steven Mendez",2005-11-10,2011-02-01,2011-05-26,,https://patents.google.com/patent/US20110125213A1/en
43,US20130066395A1,Nerve stimulation methods for averting imminent onset or episode of a disease ,"ElectroCore, LLC.","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2012-10-19,2013-03-14,,https://patents.google.com/patent/US20130066395A1/en
44,US20110245233A1,Antioxidant inflammation modulators: oleanolic acid derivatives with saturation in the c-ring ,"Eric Anderson, Xin Jiang, Xiaofeng Liu, Melean Visnick","Eric Anderson, Xin Jiang, Xiaofeng Liu, Melean Visnick",2008-04-18,2011-02-23,2011-10-06,,https://patents.google.com/patent/US20110245233A1/en
45,WO2011115804A1,Sgc stimulators ,"Ironwood Pharmaceuticals, Inc.","Joel Moore, James Jia, Takashi Nakai, Charles Kim, Thomas Wai-Ho Lee, Jane Yang",2010-03-17,2011-03-10,2011-09-22,,https://patents.google.com/patent/WO2011115804A1/en
46,US20120115874A1,"Pyrazine derivatives, process for manufacture and use thereof ",Jinan University,"Yuqiang Wang, Yewei Sun, Pei Yu, Jing Du, Gaoxiao Zhang",2010-07-05,2011-07-01,2012-05-10,,https://patents.google.com/patent/US20120115874A1/en
47,US20110319958A1,Non-invasive treatment of bronchial constriction ,Electrocore Llc,"Bruce J. Simon, Joseph P. Errico, John T. Raffle, Steven Mendez",2005-11-10,2011-08-12,2011-12-29,,https://patents.google.com/patent/US20110319958A1/en
48,WO2011088055A2,Methods and compositions for treating cardiovascular disorders ,Zafgen Corporation,Thomas E. Hughes,2010-01-12,2011-01-11,2011-07-21,,https://patents.google.com/patent/WO2011088055A2/en
49,WO2014076195A1,Oligonucleotide conjugates ,Santaris Pharma A/S,"Nanna ALBÆK, Henrik Hansen, Susanne KAMMLER, Jacob Ravn, Henrik ØRUM",2012-11-15,2013-11-14,2014-05-22,,https://patents.google.com/patent/WO2014076195A1/en
50,US20120242501A1,Health monitoring appliance ,"Bao Tran, Ha-Thi Tran","Bao Tran, Ha-Thi Tran",2006-05-12,2012-06-04,2012-09-27,,https://patents.google.com/patent/US20120242501A1/en
51,US20120143078A1,Devices and systems to measure luminal organ parameters using impedance ,"Electro-Cat, Llc","Ghassan S. Kassab, Hans Gregersen, Mohamed Reza Movahed",2003-02-21,2012-02-14,2012-06-07,,https://patents.google.com/patent/US20120143078A1/en
52,US20130041685A1,Methods and apparatus for presenting alternative hypotheses for medical facts ,"Nuance Communications, Inc.",Girija Yegnanarayanan,2011-02-18,2012-10-12,2013-02-14,,https://patents.google.com/patent/US20130041685A1/en
53,US8674132B2,N-hydroxylsulfonamide derivatives as new physiologically useful nitroxyl donors ,"The Johns Hopkins University, Cardioxyl Pharmaceuticals, Inc.","John P. Toscano, Frederick Arthur Brookfield, Andrew D. Cohen, Stephen Martin Courtney, Lisa Marie Frost, Vincent Jacob Kalish",2007-09-26,2012-06-22,2014-03-18,2014-03-18,https://patents.google.com/patent/US8674132B2/en
54,US20140081090A1,Provision of atypical brain activity alerts ,"Affectiva, Inc.","Rosalind Wright Picard, Daniel Bender, Walter Gillett",2010-06-07,2013-11-14,2014-03-20,,https://patents.google.com/patent/US20140081090A1/en
55,US8338618B2,Antioxidant inflammation modulators: novel derivatives of oleanolic acid ,"Reata Pharmaceuticals, Inc.","Xin Jiang, Jack Greiner, Lester L. Maravetz, Stephen S. Szucs, Melean Visnick",2008-04-18,2011-11-11,2012-12-25,2012-12-25,https://patents.google.com/patent/US8338618B2/en
56,US20120277839A1,Selective stimulation to modulate the sympathetic nervous system ,"Kramer Jeffery M, Kim Daniel H, Imran Mir A","Jeffery M. Kramer, Daniel H. Kim, Mir A. Imran",2004-09-08,2012-04-27,2012-11-01,,https://patents.google.com/patent/US20120277839A1/en
57,US20120172656A1,Percutaneous heart pump ,"Walters Daniel A, William James Repka, Powell Kevin J, Keenan Richard L, Walsh Justin M, Campbell Robert L, Mcbride Mark W","Daniel A. Walters, William James Repka, Kevin J. Powell, Richard L. Keenan, Justin M. Walsh, Robert L. Campbell, Mark W. McBride",2011-01-05,2012-01-04,2012-07-05,,https://patents.google.com/patent/US20120172656A1/en
58,US20120058934A1,Treatment of diseases ,Dmi Acquisition Corp.,David Bar-Or,2010-09-07,2011-09-07,2012-03-08,,https://patents.google.com/patent/US20120058934A1/en
59,US20120290266A1,Data Aggregation Platform ,Fujitsu Limited,"Jawahar Jain, David Loren Marvit, B. Thomas Adler, Rajalakshmi Balakrishnan, Alexander Gilman, Stergios Stergiou, Albert C. Braun, Albert H.M. Reinhardt",2011-05-13,2011-05-13,2012-11-15,,https://patents.google.com/patent/US20120290266A1/en
60,US20150068069A1,Personally powered appliance ,"Alexander Bach Tran, Ha Tran, Bao Tran","Alexander Bach Tran, Ha Tran, Bao Tran",2013-07-27,2013-07-27,2015-03-12,,https://patents.google.com/patent/US20150068069A1/en
61,US20140073969A1,Mobile cardiac health monitoring ,"Neurosky, Inc.","Rui Zou, An Luo, Cheng-I Chuang",2012-09-12,2013-08-22,2014-03-13,,https://patents.google.com/patent/US20140073969A1/en
62,WO2013057527A2,Compounds for treatment of ishcemic injury ,Pharmahungary 2000 Kft,"Péter Ferdinándy, Zoltán VARGA, Tamás CSONT",2011-10-17,2012-10-17,2013-04-25,,https://patents.google.com/patent/WO2013057527A2/en
63,US20110230701A1,Electrical and magnetic stimulators used to treat migraine/sinus headache and comorbid disorders ,"ElectroCore, LLC.","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2011-05-17,2011-09-22,,https://patents.google.com/patent/US20110230701A1/en
64,US8895536B2,Compositions and methods for treating chronic inflammation and inflammatory diseases ,Infirst Healthcare Ltd.,"Robin Mark Bannister, John Brew, Wilson Caparros-Wanderley, Gregory Alan Stoloff, Suzanne Jane Dilly, Gemma Szucs, Olga Pleguezuelos Mateo",2010-10-29,2012-02-03,2014-11-25,2014-11-25,https://patents.google.com/patent/US8895536B2/en
65,WO2014047111A1,Sgc stimulators ,"Ironwood Pharmaceuticals, Inc.","G-yoon Jamie IM, Rajesh Iyengar, Joel Moore, Angelika Fretzen",2012-09-18,2013-09-18,2014-03-27,,https://patents.google.com/patent/WO2014047111A1/en
66,US20120289788A1,Triggering User Queries Based on Sensor Inputs ,Fujitsu Limited,"Jawahar Jain, David Loren Marvit, Albert H. M. Reinhardt",2011-05-13,2011-05-13,2012-11-15,,https://patents.google.com/patent/US20120289788A1/en
67,US20140214124A1,Implantable Electroacupuncture System and Method for Treating Cardiovascular Disease ,Valencia Technologies Corporation,"Jeffrey H. Greiner, David K. L. Peterson, Chuladatta Thenuwara",2011-09-23,2012-09-19,2014-07-31,,https://patents.google.com/patent/US20140214124A1/en
68,US20110250703A1,Il1rl-1 as a cardiovascular disease marker and therapeutic target ,"The Brigham & Women's Hospital, Inc.",Richard T. Lee,2002-05-09,2011-06-01,2011-10-13,,https://patents.google.com/patent/US20110250703A1/en
69,US20110276107A1,"Electrical and magnetic stimulators used to treat migraine/sinus headache, rhinitis, sinusitis, rhinosinusitis, and comorbid disorders ","ElectroCore, LLC.","Bruce Simon, Joseph P. Errico, John T. Raffle",2005-11-10,2011-07-15,2011-11-10,,https://patents.google.com/patent/US20110276107A1/en
70,US20120283450A1,Compounds including an anti-inflammatory pharmacore and methods of use ,"Eric Anderson, Bolton Gary L, Ferguson Deborah A, Xin Jiang, Kral Jr Robert M, O'brien Patrick M, Melean Visnick","Eric Anderson, Gary L. Bolton, Deborah A. Ferguson, Xin Jiang, Robert M. Kral, Jr., Patrick M. O'Brien, Melean Visnick",2008-04-18,2012-07-18,2012-11-08,,https://patents.google.com/patent/US20120283450A1/en
71,US20110189212A1,Oxidized lipids and uses thereof in the treatment of inflammatory diseases and disorders ,Vascular Biogenics Ltd.,"Dror Harats, Jacob George, Gideon Halperin, Itzhak Mendel, Niva Yacov, Eti Kovalevski-Ishai",2003-05-27,2011-04-13,2011-08-04,,https://patents.google.com/patent/US20110189212A1/en
72,US20120022844A1,Probabilistic parameter estimation using fused data apparatus and method of use thereof ,"Streamline Automation, Llc",Rodrigo Teixeira,2009-04-22,2011-07-12,2012-01-26,,https://patents.google.com/patent/US20120022844A1/en
73,US20120195910A1,Anti-pcsk9 antibodies and methods of use ,"Genentech, Inc.","Yan Wu, Cecilia Chiu, Daniel Kirchhofer, Andrew Peterson, Ganesh Kolumam, Monica Kong Beltran, Paul Moran, Wei Li",2010-12-22,2011-12-21,2012-08-02,,https://patents.google.com/patent/US20120195910A1/en
74,CN102430099A,Life-prolonging essence ,???,???,2012-01-04,2012-01-04,2012-05-02,,https://patents.google.com/patent/CN102430099A/en
75,US20120101630A1,Pharmaceutical packaging and method for delivery of same ,"Kantilal Kasan Daya, Daya Justin K","Kantilal Kasan Daya, Justin K. Daya",2005-11-14,2011-04-21,2012-04-26,,https://patents.google.com/patent/US20120101630A1/en
76,US20110179389A1,"Systems, methods and articles for managing presentation of information ",Andre Gene Douen,Andre Gene Douen,2009-07-17,2011-01-14,2011-07-21,,https://patents.google.com/patent/US20110179389A1/en
77,US8168762B2,Antigen binding proteins to proprotein convertase subtilisin kexin type 9 (PCSK9) ,Amgen Inc.,"Simon Mark Jackson, Bei Shan, Wenyan Shen, Chadwick Terence King",2007-08-23,2011-10-03,2012-05-01,2012-05-01,https://patents.google.com/patent/US8168762B2/en
78,WO2013154766A1,Microrna control of ldl receptor pathway ,New York University,"Kathryn J. Moore, Katey J. Rayner",2012-04-13,2013-03-15,2013-10-17,,https://patents.google.com/patent/WO2013154766A1/en
79,WO2012054438A1,Anti-pcsk9 ,Schering Corporation,"Joseph A. Hedrick, Leonard G. Presta, Diane Hollenbaugh, Nicholas Murgolo, Jun Lu, Gopalakrishnan Parthasarathy, Noel Byrne",2010-10-22,2011-10-18,2012-04-26,,https://patents.google.com/patent/WO2012054438A1/en
80,US20120214814A1,Antioxidant inflammation modulators: oleanolic acid derivatives with amino acid and other modifications at c-17 ,"Eric Anderson, Xin Jiang, Melean Visnick","Eric Anderson, Xin Jiang, Melean Visnick",2008-04-18,2012-01-23,2012-08-23,,https://patents.google.com/patent/US20120214814A1/en
81,US20130012790A1,"Systems, Computer Medium and Computer-Implemented Methods for Monitoring and Improving Health and Productivity of Employees ",Saudi Arabian Oil Company,Samantha J. Horseman,2011-07-05,2012-07-02,2013-01-10,,https://patents.google.com/patent/US20130012790A1/en
82,US20130035961A1,Methods and apparatus for applying user corrections to medical fact extraction ,"Nuance Communications, Inc.",Girija Yegnanarayanan,2011-02-18,2012-10-12,2013-02-07,,https://patents.google.com/patent/US20130035961A1/en
83,WO2012078798A1,Methods of processing organic matter and compositions thereof ,"Bananalogix, Inc.","Lalit Lodha, Yuval Kwintner, Bruce Compton",2010-12-07,2011-12-07,2012-06-14,,https://patents.google.com/patent/WO2012078798A1/en
84,US20110268801A1,Novel compounds and compositions and methods of use ,"Ardea Biosciences, Inc.","Barry D. Quart, Jean-Luc Girardet, Esmir Gunic, Li-Tain Yeh",2007-11-27,2011-06-30,2011-11-03,,https://patents.google.com/patent/US20110268801A1/en
85,US20120130419A1,Automatic devices for remote ischemic preconditioning ,Infarct Reduction Technologies Inc.,Boris Leschinsky,2009-06-23,2012-01-31,2012-05-24,,https://patents.google.com/patent/US20120130419A1/en
86,EP2703009A1,Combination treatments involving antibodies to human PCSK9 ,Sanofi,designation of the inventor has not yet been filed The,2012-08-31,2012-08-31,2014-03-05,,https://patents.google.com/patent/EP2703009A1/en
87,US20110282216A1,Monitoring a condition of a subject ,Earlysense Ltd.,"Zvika Shinar, Guy Meger, Avner Halperin",2004-02-05,2011-05-13,2011-11-17,,https://patents.google.com/patent/US20110282216A1/en
88,US8099167B1,Methods and apparatus for treating anaphylaxis using electrical modulation ,Electrocore Llc,"Joseph P. Errico, Steven Mendez",2006-02-10,2011-08-18,2012-01-17,2012-01-17,https://patents.google.com/patent/US8099167B1/en
89,US20150038518A1,Methods for the treatment of solid tumors ,"Pharmacyclics, Inc.",Sriram Balasubramanian,2013-08-02,2014-08-01,2015-02-05,,https://patents.google.com/patent/US20150038518A1/en
90,US20120214771A1,Compositions for treatment of cardiometabolic disorders ,Fontini Sampalis,Fontini Sampalis,2001-07-27,2011-11-28,2012-08-23,,https://patents.google.com/patent/US20120214771A1/en
91,US20130158368A1,"System for monitoring and managing body weight and other physiological conditions including iterative and personalized planning, intervention and reporting capability ","Bodymedia, Inc.","Christopher Pacione, Steve Menke, David Andre, Eric Teller, Scott Safier, Raymond Pelletier, Mark Handel, Jonathan Farringdon, Eric Hsiung, Suresh Vishnubhatla, James Hanlon, John M. Stivoric, Neal Spruce, Steve Shassberger",2000-06-16,2013-02-07,2013-06-20,,https://patents.google.com/patent/US20130158368A1/en
92,US20140156308A1,"Automated Health Data Acquisition, Processing and Communication System ",Dacadoo Ag,"Peter Ohnemus, Andre Naef, Manuel Heuer, David Leason",2012-11-30,2013-12-02,2014-06-05,,https://patents.google.com/patent/US20140156308A1/en
93,WO2012177741A1,Pcsk9-binding polypeptides and methods of use ,"Genentech, Inc., F. Hoffmann-La Roche Ag","Daniel Kirchhofer, Wei Li, Andrew Scott PETERSON, Yingnan Zhang, Lijuan Zhou, Monica Kong-Beltran",2011-06-20,2012-06-20,2012-12-27,,https://patents.google.com/patent/WO2012177741A1/en
94,US20130317580A1,Vagal nerve stimulation to avert or treat stroke or transient ischemic attack ,"ElectroCore, LLC","Bruce J. Simon, Joseph P. Errico",2005-11-10,2013-07-29,2013-11-28,,https://patents.google.com/patent/US20130317580A1/en
95,US20110276115A1,Cooling Guide Catheter And Associated Method Of Use ,Thomas Lad Merrill,Thomas Lad Merrill,2004-09-16,2011-07-22,2011-11-10,,https://patents.google.com/patent/US20110276115A1/en
96,US20120041279A1,"Devices and methods for respiratory variation monitoring by measurement of respiratory volumes, motion and variability ","Respiratory Motion, Inc.","Jenny E. Freeman, Michael Lalli, Alexander Mattfolk, Alexander Panasyuk, Charles Jahnke, Nathaniel Steiger, Svetlana V. Panasyuk, Arvil Nagpal, James F. Toy, IV, Roman Bokhenik, Anita Karcz",2010-08-13,2011-08-15,2012-02-16,,https://patents.google.com/patent/US20120041279A1/en
97,US20120027897A1,Methods For Quantifying The Complete Nutritional Value Of A Standard Equivalent Unit Of The Nutritional Value Of One Serving Of Fruits & Vegetables (SFV)And For Fortifying A Base Food To Contain Same For Human Consumption ,Innocenzi Mark A,Mark A. Innocenzi,2010-04-13,2011-10-06,2012-02-02,,https://patents.google.com/patent/US20120027897A1/en
98,US20150057512A1,Wearable heart failure monitor patch ,Rijuven Corporation,Rajeshwar Kapoor,2011-11-16,2014-08-18,2015-02-26,,https://patents.google.com/patent/US20150057512A1/en
99,US20120290215A1,Calculating and Monitoring a Composite Stress Index ,Fujitsu Limited,"B. Thomas Adler, Jawahar Jain, David Loren Marvit, Rajalakshmi Balakrishnan, Alexander Gilman, Stergios Stergiou, Albert C. Braun, Albert H. M. Reinhardt",2011-05-13,2011-05-13,2012-11-15,,https://patents.google.com/patent/US20120290215A1/en
100,US8930044B1,Multi-part navigation process by an unmanned aerial vehicle for navigating to a medical situatiion ,Google Inc.,"Eric Peeters, Eric Teller, William Graham Patrick",2012-12-28,2012-12-28,2015-01-06,2015-01-06,https://patents.google.com/patent/US8930044B1/en
101,US8114350B1,"Sensors for detecting substances indicative of stroke, ischemia, infection or inflammation ","Silver James H, Mostowfi Darius F, Van Der Burg Erik","James H. Silver, Darius F. Mostowfi",2000-05-15,2011-10-20,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114350B1/en
102,US20120041778A1,System and methods for the production of personalized drug products ,Kraft Daniel L,Daniel L. Kraft,2010-08-13,2011-08-15,2012-02-16,,https://patents.google.com/patent/US20120041778A1/en
103,US20110260855A1,Management of cardiac data transmissions ,"Angel Medical Systems, Inc.","Michael Sasha John, David R. Fischell",2006-03-10,2011-07-01,2011-10-27,,https://patents.google.com/patent/US20110260855A1/en
